Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,298.0,306.69000244140625,295.0899963378906,304.2699890136719,302.086181640625,468200
2020-07-27,306.6700134277344,311.4800109863281,305.0899963378906,310.3299865722656,308.1026916503906,286100
2020-07-28,311.0,311.0,305.2300109863281,306.6300048828125,304.42926025390625,240600
2020-07-29,307.54998779296875,314.5899963378906,307.54998779296875,313.95001220703125,311.6967468261719,317700
2020-07-30,310.8500061035156,316.7200012207031,310.239990234375,314.94000244140625,312.6795959472656,371900
2020-07-31,315.7300109863281,316.7699890136719,312.1700134277344,316.70001220703125,314.427001953125,284100
2020-08-03,317.8699951171875,327.6099853515625,317.8699951171875,322.2200012207031,319.9073486328125,307200
2020-08-04,321.489990234375,326.19000244140625,320.2099914550781,324.80999755859375,322.4787292480469,230800
2020-08-05,324.0299987792969,328.0,321.55999755859375,327.989990234375,325.6359558105469,166400
2020-08-06,327.7300109863281,329.1600036621094,324.3299865722656,328.54998779296875,326.1919250488281,130500
2020-08-07,327.239990234375,331.1199951171875,326.0400085449219,328.6000061035156,326.2416076660156,156800
2020-08-10,329.7799987792969,329.7799987792969,321.6099853515625,325.489990234375,323.15386962890625,197400
2020-08-11,324.8999938964844,324.8999938964844,314.8999938964844,316.17999267578125,313.91070556640625,475500
2020-08-12,317.739990234375,325.8599853515625,314.7799987792969,324.3599853515625,322.6238098144531,337100
2020-08-13,322.7699890136719,329.5299987792969,319.8500061035156,320.1099853515625,318.39654541015625,203300
2020-08-14,319.8699951171875,322.75,317.010009765625,319.32000732421875,317.6108093261719,130100
2020-08-17,321.17999267578125,329.95001220703125,319.79998779296875,326.0299987792969,324.28485107421875,213900
2020-08-18,328.1300048828125,332.1700134277344,324.4100036621094,328.04998779296875,326.2940673828125,255200
2020-08-19,329.1700134277344,329.70001220703125,324.30999755859375,325.5299987792969,323.78753662109375,152000
2020-08-20,325.3999938964844,328.6300048828125,323.70001220703125,325.5,323.7577209472656,229000
2020-08-21,325.0,333.5899963378906,324.3299865722656,333.3699951171875,331.5856018066406,259400
2020-08-24,335.7099914550781,336.54998779296875,332.9800109863281,334.7200012207031,332.9283447265625,265700
2020-08-25,333.75,336.4100036621094,332.42999267578125,335.3999938964844,333.604736328125,177000
2020-08-26,335.9599914550781,337.8800048828125,333.7900085449219,335.8500061035156,334.0523376464844,177400
2020-08-27,337.79998779296875,342.1499938964844,334.6700134277344,336.6700134277344,334.8679504394531,233600
2020-08-28,337.3500061035156,338.75,329.2300109863281,330.8999938964844,329.1287841796875,185900
2020-08-31,330.739990234375,334.32000732421875,326.6499938964844,327.8399963378906,326.0851745605469,233900
2020-09-01,329.7099914550781,331.9100036621094,328.54998779296875,329.9200134277344,328.154052734375,314600
2020-09-02,332.2099914550781,334.29998779296875,325.2200012207031,329.8800048828125,328.1142883300781,252000
2020-09-03,328.07000732421875,328.8999938964844,307.8800048828125,309.67999267578125,308.02239990234375,316700
2020-09-04,308.2699890136719,313.8299865722656,291.3699951171875,295.0,293.42095947265625,667500
2020-09-08,289.7200012207031,298.0899963378906,285.92999267578125,293.1199951171875,291.551025390625,350900
2020-09-09,297.4599914550781,304.54998779296875,296.8699951171875,302.4200134277344,300.80126953125,271100
2020-09-10,303.94000244140625,305.2200012207031,298.239990234375,300.17999267578125,298.5732421875,253800
2020-09-11,302.8299865722656,305.5,299.3500061035156,300.32000732421875,298.7125244140625,206000
2020-09-14,303.510009765625,309.739990234375,300.8900146484375,308.3800048828125,306.7293395996094,361600
2020-09-15,312.739990234375,313.54998779296875,307.25,308.4800109863281,306.8288269042969,237400
2020-09-16,309.7900085449219,311.7099914550781,300.0899963378906,300.2200012207031,298.613037109375,262900
2020-09-17,297.3500061035156,304.5,293.3800048828125,304.2900085449219,302.6612548828125,258600
2020-09-18,303.3900146484375,305.7099914550781,297.3699951171875,301.260009765625,299.6474609375,534600
2020-09-21,295.1199951171875,301.2300109863281,294.55999755859375,300.489990234375,298.8815612792969,258200
2020-09-22,303.2900085449219,309.5899963378906,301.80999755859375,307.8999938964844,306.2519226074219,286200
2020-09-23,306.9800109863281,310.05999755859375,305.010009765625,307.2799987792969,305.6352233886719,244900
2020-09-24,306.2200012207031,313.739990234375,304.42999267578125,310.1000061035156,308.4401550292969,231600
2020-09-25,308.7900085449219,316.57000732421875,306.5799865722656,315.1000061035156,313.41339111328125,204000
2020-09-28,320.6700134277344,325.9599914550781,315.489990234375,325.20001220703125,323.4593200683594,308400
2020-09-29,325.6099853515625,330.45001220703125,324.760009765625,328.5400085449219,326.78143310546875,319200
2020-09-30,328.55999755859375,338.8800048828125,328.55999755859375,334.5400085449219,332.74932861328125,336800
2020-10-01,338.2799987792969,338.57000732421875,325.92999267578125,328.2799987792969,326.5228576660156,380600
2020-10-02,319.8800048828125,327.2900085449219,319.0799865722656,322.7900085449219,321.0622253417969,729800
2020-10-05,323.010009765625,329.42999267578125,321.29998779296875,327.75,325.99566650390625,670600
2020-10-06,327.6300048828125,331.6099853515625,321.1199951171875,328.010009765625,326.2543029785156,8139000
2020-10-07,329.04998779296875,334.0,327.75,331.6400146484375,329.8648986816406,547600
2020-10-08,333.010009765625,342.8800048828125,333.010009765625,340.8500061035156,339.02557373046875,410400
2020-10-09,347.4700012207031,350.0400085449219,343.57000732421875,346.54998779296875,344.6950378417969,454100
2020-10-12,349.989990234375,353.4700012207031,347.0,352.69000244140625,350.80218505859375,281300
2020-10-13,353.9100036621094,355.5,348.989990234375,351.989990234375,350.1059265136719,389000
2020-10-14,353.1499938964844,363.44000244140625,352.45001220703125,360.30999755859375,358.3813781738281,382300
2020-10-15,355.2699890136719,363.3599853515625,353.17999267578125,360.3800048828125,358.4510192871094,330500
2020-10-16,361.04998779296875,363.9800109863281,356.7099914550781,359.44000244140625,357.51605224609375,291000
